iter	Logloss
0	0.6899840832
1	0.6879571915
2	0.6853125572
3	0.6821859837
4	0.6790818214
5	0.6764475822
6	0.6744124413
7	0.6720890045
8	0.6690305233
9	0.6662133217
10	0.6640907288
11	0.662274456
12	0.6599167824
13	0.6574462891
14	0.6554078102
15	0.6530778885
16	0.6508057594
17	0.6482962608
18	0.6453537941
19	0.6430668831
20	0.6407886505
21	0.6385212421
22	0.6360650063
23	0.633980751
24	0.6315432072
25	0.6297858715
26	0.6275617599
27	0.6257025719
28	0.6233037949
29	0.62048769
30	0.6176837921
31	0.6160228729
32	0.613240242
33	0.6104736328
34	0.6083306313
35	0.6055897236
36	0.604078722
37	0.602119875
38	0.5996902466
39	0.5974809647
40	0.5952049255
41	0.5929400444
42	0.5913611412
43	0.5887030602
44	0.5864459038
45	0.5848919868
46	0.5833394051
47	0.5816822052
48	0.5798803329
49	0.5791893959
50	0.5773269176
51	0.5752870083
52	0.5736587524
53	0.5718474865
54	0.5703371048
55	0.5677897453
56	0.5656477451
57	0.5631230354
58	0.5616441727
59	0.5596676826
60	0.5580996513
61	0.5566375256
62	0.5541577816
63	0.5519546509
64	0.5498846054
65	0.5481033325
66	0.5466734409
67	0.5446268082
68	0.542654705
69	0.5402481079
70	0.53894701
71	0.5370663643
72	0.5350603104
73	0.5336765289
74	0.5320615768
75	0.5302431107
76	0.528400898
77	0.5260674477
78	0.5245760918
79	0.5222578049
80	0.5206188202
81	0.5192828178
82	0.5171747684
83	0.5154624939
84	0.5140100479
85	0.5126022339
86	0.5107694626
87	0.5092421055
88	0.5079458237
89	0.5066510201
90	0.5046059608
91	0.5025690079
92	0.5011658669
93	0.4989710808
94	0.4972960472
95	0.4955814362
96	0.4935874939
97	0.4916692734
98	0.4895216942
99	0.4883750916
100	0.4868955612
101	0.4847735405
102	0.4832168579
103	0.4815143585
104	0.4800607681
105	0.4785260201
106	0.4770313263
107	0.4756278038
108	0.4741988182
109	0.4731038094
110	0.4717199326
111	0.4705457687
112	0.4694627285
113	0.4676566124
114	0.4659626961
115	0.4645392895
116	0.462857151
117	0.4615071297
118	0.4602487564
119	0.4587262154
120	0.4567475319
121	0.4547784805
122	0.4535382271
123	0.452142334
124	0.4511140823
125	0.4493907928
126	0.4480921745
127	0.4461652756
128	0.4448253155
129	0.4432326317
130	0.4421534538
131	0.4402585983
132	0.4383706093
133	0.4373073101
134	0.4358567238
135	0.433991766
136	0.432424736
137	0.4309948921
138	0.4297237396
139	0.4283024788
140	0.4271617889
141	0.4258913994
142	0.4245099068
143	0.423056221
144	0.4212553024
145	0.4197611809
146	0.4184396744
147	0.4173297882
148	0.4158551216
149	0.4146462917
150	0.4134428978
151	0.412352562
152	0.4112660408
153	0.4100787163
154	0.4083443165
155	0.4066200256
156	0.4053179741
157	0.4036089897
158	0.4023519516
159	0.400945282
160	0.399542141
161	0.3986712456
162	0.397136569
163	0.3960626602
164	0.395059967
165	0.3937865257
166	0.3924173355
167	0.391177845
168	0.3899686813
169	0.3887403965
170	0.3875179768
171	0.3862998486
172	0.3854062557
173	0.3837997437
174	0.3826441288
175	0.3813258648
176	0.3803495407
177	0.379446125
178	0.3778699398
179	0.3768370867
180	0.3759722948
181	0.3749190807
182	0.3735444069
183	0.3726830006
184	0.3718325377
185	0.3708500147
186	0.3693157673
187	0.3685350895
188	0.36762712
189	0.3666315556
190	0.3657330513
191	0.3644028664
192	0.3633018017
193	0.3621591568
194	0.3611822844
195	0.3603632927
196	0.3592336655
197	0.3577567101
198	0.3564170599
199	0.3552108765
200	0.3543238401
201	0.3528712273
202	0.3516802073
203	0.3506045341
204	0.3495795727
205	0.3486487389
206	0.3475821257
207	0.3466864109
208	0.345396781
209	0.3442492723
210	0.3435451508
211	0.3424928188
212	0.3415631294
213	0.3407450676
214	0.339695406
215	0.3387985229
216	0.3378820896
217	0.3369320869
218	0.3361056328
219	0.3351861
220	0.333950758
221	0.3332185984
222	0.3320998192
223	0.3307593346
224	0.3295446396
225	0.3289462566
226	0.3276218414
227	0.3270324469
228	0.3261825323
229	0.3254771233
230	0.3248288155
231	0.3237929821
232	0.3228702307
233	0.3221719503
234	0.3214734077
235	0.3205621243
236	0.3196450233
237	0.3187376499
238	0.3178872585
239	0.3170686245
240	0.316135931
241	0.3154589176
242	0.3144277096
243	0.3136193275
244	0.3125235558
245	0.3118063927
246	0.3105698109
247	0.3101850271
248	0.3094734907
249	0.3086324215
250	0.3075651884
251	0.3067868233
252	0.3059119701
253	0.3051069736
254	0.3041993141
255	0.3035047531
256	0.3025103569
257	0.3016186237
258	0.300544095
259	0.2995905399
260	0.2990132332
261	0.2981429577
262	0.2972657681
263	0.2963907242
264	0.2955946922
265	0.2950319767
266	0.2941665649
267	0.2932661772
268	0.2924620152
269	0.291324091
270	0.2903997421
271	0.2896769762
272	0.288847208
273	0.2879368305
274	0.2871270657
275	0.2863051414
276	0.2857208252
277	0.2846150875
278	0.2839147091
279	0.2830172062
280	0.2821304321
281	0.2810408115
282	0.2803746223
283	0.2798012495
284	0.2792304516
285	0.2784282207
286	0.2774594069
287	0.2766820908
288	0.2759923935
289	0.2750326633
290	0.2741850853
291	0.2735236645
292	0.2727627039
293	0.2719531536
294	0.2711160183
295	0.2705747604
296	0.2696364641
297	0.2688346148
298	0.26834445
299	0.2680337906
300	0.2673138142
301	0.2666728973
302	0.2659322739
303	0.2654057026
304	0.264786768
305	0.2641942501
306	0.2631937981
307	0.2624639034
308	0.2614724159
309	0.2609580994
310	0.2604474783
311	0.2594675064
312	0.2586804152
313	0.2580376625
314	0.2574079514
315	0.2569051743
316	0.2561368942
317	0.2556377411
318	0.2548657894
319	0.254251194
320	0.2537592888
321	0.2533094883
322	0.2528568268
323	0.252261138
324	0.2515934467
325	0.250841856
326	0.2503563404
327	0.2495108128
328	0.2490307808
329	0.2485115051
330	0.2477970123
331	0.2472062588
332	0.2466342211
333	0.2460630655
334	0.2454524279
335	0.2448708057
336	0.2442024231
337	0.2436965466
338	0.2432363033
339	0.2428148746
340	0.2420099735
341	0.2411158562
342	0.2406181812
343	0.2399396896
344	0.2390525341
345	0.2382971287
346	0.2375011683
347	0.2366311073
348	0.2360897541
349	0.2356495857
350	0.2350299358
351	0.2344548702
352	0.2338264465
353	0.2333939075
354	0.2326582432
355	0.2319757462
356	0.2315455914
357	0.2310267925
358	0.2305052996
359	0.2297844172
360	0.229115057
361	0.2286968231
362	0.2280284643
363	0.2274291039
364	0.2269579887
365	0.2262971401
366	0.2257008076
367	0.2249718189
368	0.2243164539
369	0.2239066601
370	0.2234075546
371	0.2230709076
372	0.2224336624
373	0.221969986
374	0.2214165211
375	0.2207280159
376	0.2201919556
377	0.2194847584
378	0.2189369202
379	0.218234539
380	0.2177555561
381	0.216980052
382	0.2164145947
383	0.2159472227
384	0.2152532816
385	0.2149023533
386	0.2142959833
387	0.2137960911
388	0.2131923437
389	0.2128790855
390	0.212126112
391	0.2114518166
392	0.2107048035
393	0.210252142
394	0.2097129345
395	0.2092558861
396	0.2085205555
397	0.2078613758
398	0.2074290276
399	0.206936121
400	0.2066048145
401	0.2060511589
402	0.2054782391
403	0.2050741673
404	0.2044319153
405	0.2038563251
406	0.2033532381
407	0.2026453018
408	0.2020848513
409	0.2016334772
410	0.2010776758
411	0.20072999
412	0.2003063202
413	0.1997771502
414	0.1994353056
415	0.199049592
416	0.1984931231
417	0.1978814363
418	0.1975361824
419	0.1969264507
420	0.1965132713
421	0.1960510015
422	0.1957193136
423	0.1952397943
424	0.1945707083
425	0.194059968
426	0.1935554743
427	0.1932572246
428	0.1928730011
429	0.1922787905
430	0.1918719769
431	0.1913537264
432	0.1910906792
433	0.1905066967
434	0.1899219513
435	0.1894108295
436	0.1890024066
437	0.1886059046
438	0.1882921934
439	0.1879763365
440	0.1876248598
441	0.1870525122
442	0.1866391659
443	0.1862623453
444	0.1858538866
445	0.1854151487
446	0.1849602699
447	0.1844890118
448	0.1841526985
449	0.1835328579
450	0.1829162121
451	0.1823025346
452	0.1818092108
453	0.1813792706
454	0.180837369
455	0.180399847
456	0.1800779343
457	0.1796044111
458	0.1792667747
459	0.1787294149
460	0.1782207966
461	0.1778936863
462	0.1775810957
463	0.1772299051
464	0.1766414404
465	0.1762925863
466	0.1759692669
467	0.1756064653
468	0.1752509475
469	0.1748575926
470	0.1745240211
471	0.174220705
472	0.1737691402
473	0.1731974125
474	0.1727433681
475	0.1723161221
476	0.1720446587
477	0.1716395855
478	0.1713680863
479	0.1710436821
480	0.1707971811
481	0.1704805136
482	0.1700641632
483	0.1696703792
484	0.1692737818
485	0.1688617826
486	0.1686204672
487	0.1681494474
488	0.1678878307
489	0.1674600363
490	0.167165637
491	0.1667906046
492	0.1664042473
493	0.1660788059
494	0.1657316685
495	0.1652521133
496	0.1647172213
497	0.1642424345
498	0.1639895678
499	0.1636388302
500	0.1631680965
501	0.1628170967
502	0.1625323534
503	0.1621132374
504	0.1617203712
505	0.1613777637
506	0.160990274
507	0.1605525732
508	0.1601935148
509	0.1596827507
510	0.159330368
511	0.1590034246
512	0.1584973335
513	0.1581746578
514	0.1578200221
515	0.1573188901
516	0.1570815921
517	0.1568697214
518	0.156624496
519	0.1563330889
520	0.1560057402
521	0.1556912184
522	0.1554819345
523	0.155130589
524	0.1548744917
525	0.154575181
526	0.1542088985
527	0.1539783239
528	0.1535420299
529	0.1532625914
530	0.1529830933
531	0.1527575016
532	0.1524561644
533	0.152231288
534	0.1519025326
535	0.1515518427
536	0.151324439
537	0.1509999037
538	0.1506695747
539	0.1504698515
540	0.1500523806
541	0.1497745275
542	0.1493095398
543	0.1488470078
544	0.1486302614
545	0.1484168291
546	0.1480613351
547	0.1477615356
548	0.147548008
549	0.1471637726
550	0.1468105316
551	0.1466002226
552	0.1461498022
553	0.1458477736
554	0.1454521775
555	0.1451435328
556	0.144878006
557	0.1445849895
558	0.144329226
559	0.143988204
560	0.1435485482
561	0.1433447123
562	0.1429559231
563	0.1427529097
564	0.1425095081
565	0.1420764208
566	0.1418952346
567	0.1414631844
568	0.1412345886
569	0.1409893751
570	0.140561676
571	0.1403178692
572	0.1400239944
573	0.1397074103
574	0.1395127177
575	0.1392817974
576	0.1389902353
577	0.1386972904
578	0.1384576678
579	0.138198328
580	0.1378307223
581	0.1375058174
582	0.1373134613
583	0.1369007826
584	0.1364908695
585	0.1362514973
586	0.1359973669
587	0.1357488036
588	0.1353839397
589	0.1350230932
590	0.1346224308
591	0.1343942404
592	0.1339928389
593	0.1336805105
594	0.1332834244
595	0.1329443455
596	0.132708931
597	0.1324388742
598	0.1321649551
599	0.1317739725
600	0.1314302325
601	0.1311804652
602	0.1307920814
603	0.1304969788
604	0.1302709579
605	0.13011024
606	0.1299525023
607	0.1296880484
608	0.1294598579
609	0.1292232752
610	0.1290657759
611	0.1288568258
612	0.1284827471
613	0.1281951666
614	0.1279843569
615	0.1277739763
616	0.1275133371
617	0.1273601294
618	0.1271019697
619	0.1268937111
620	0.1265684605
621	0.1263379216
622	0.1260164261
623	0.1258648157
624	0.1256320953
625	0.1253795147
626	0.1251387
627	0.1248566747
628	0.1245390654
629	0.1243317604
630	0.1240105391
631	0.1237318635
632	0.1235551596
633	0.1232032061
634	0.1230032325
635	0.1228471518
636	0.1225495338
637	0.1222395182
638	0.1220798135
639	0.1219517469
640	0.1217663765
641	0.1214954257
642	0.1212453365
643	0.1210458875
644	0.1207036257
645	0.120413518
646	0.1201914787
647	0.1200546384
648	0.1198865771
649	0.1196974635
650	0.1194727421
651	0.1192392588
652	0.1189019203
653	0.1186421394
654	0.1184255242
655	0.1182748675
656	0.1179440022
657	0.1178087711
658	0.1175669193
659	0.1172738314
660	0.1171408653
661	0.1169271708
662	0.1166738749
663	0.1163865328
664	0.1162550569
665	0.1160747528
666	0.1158890128
667	0.1156071186
668	0.1153848886
669	0.1152565479
670	0.1149366617
671	0.1147536278
672	0.1146261573
673	0.1144183874
674	0.1141027927
675	0.113822794
676	0.1136836767
677	0.1134662867
678	0.1131532907
679	0.1130104303
680	0.1128442526
681	0.112703371
682	0.112577796
683	0.1123430729
684	0.1121848345
685	0.1120092154
686	0.111800909
687	0.1115926743
688	0.1113594055
689	0.1110557079
690	0.1108817339
691	0.1106648207
692	0.1103626013
693	0.1100937605
694	0.1097939253
695	0.1095750928
696	0.1093533993
697	0.1091233492
698	0.1088272572
699	0.108670187
700	0.1084682107
701	0.1083008528
702	0.1081685781
703	0.1080241084
704	0.1077327132
705	0.1075778723
706	0.1074531078
707	0.1072811842
708	0.1071156383
709	0.106927228
710	0.1067631125
711	0.1064764738
712	0.106269908
713	0.1061473727
714	0.1059379101
715	0.1057026982
716	0.1055253506
717	0.1052925825
718	0.1051714182
719	0.1049798965
720	0.104824996
721	0.1046146274
722	0.1044546604
723	0.1043329954
724	0.1041628957
725	0.1039155722
726	0.1036748409
727	0.1034662008
728	0.103284955
729	0.1030798435
730	0.1028982282
731	0.1027545929
732	0.10264678
733	0.10246315
734	0.1022250891
735	0.1020169973
736	0.1019233108
737	0.1017900705
738	0.1016712189
739	0.1014039993
740	0.1011387467
741	0.1008732796
742	0.1006830931
743	0.1005494833
744	0.1004189253
745	0.1001564145
746	0.09992588162
747	0.09976578951
748	0.09950666428
749	0.09924914241
750	0.09913598299
751	0.09903556705
752	0.09877898693
753	0.09867947102
754	0.09846789837
755	0.09827335477
756	0.09814199209
757	0.09797406793
758	0.09782458544
759	0.09765820503
760	0.09750059843
761	0.09741356373
762	0.09724733829
763	0.09699833989
764	0.09689090252
765	0.09674201608
766	0.09657595158
767	0.09639050364
768	0.09618375301
769	0.09605698586
770	0.09584178925
771	0.09573782682
772	0.09552438855
773	0.09540333748
774	0.09527025223
775	0.09505652189
776	0.09492872953
777	0.09481829405
778	0.09471387863
779	0.09452970028
780	0.09440033436
781	0.09429756403
782	0.09405924082
783	0.09394540787
784	0.09374843836
785	0.093511796
786	0.09341113567
787	0.09331005812
788	0.09307596087
789	0.09298124909
790	0.09277442098
791	0.09268481731
792	0.09256283641
793	0.09246323705
794	0.09223203659
795	0.09211936593
796	0.09204072356
797	0.09191160798
798	0.09182368517
799	0.09162321091
800	0.09139451981
801	0.09116721153
802	0.09101154804
803	0.09088928699
804	0.09066419601
805	0.09046627283
806	0.09027037621
807	0.09015307426
808	0.09006865621
809	0.08990120292
810	0.08979285955
811	0.08970742226
812	0.08952096105
813	0.08935515881
814	0.08918591738
815	0.08905613422
816	0.08892607093
817	0.08876222372
818	0.0886600852
819	0.08849791288
820	0.08840687275
821	0.08827733994
822	0.08815354109
823	0.08805084229
824	0.08796896935
825	0.08784242868
826	0.08774348497
827	0.0876429677
828	0.08742948771
829	0.08721587062
830	0.08708931804
831	0.08689950705
832	0.08677455783
833	0.0865914464
834	0.08641768694
835	0.08633016348
836	0.08620320559
837	0.08605482578
838	0.08591555357
839	0.08582721949
840	0.08574837446
841	0.08565259576
842	0.08549884558
843	0.08541218042
844	0.08528158665
845	0.08515307903
846	0.08504818082
847	0.08495343328
848	0.08484466076
849	0.08470873833
850	0.08460974693
851	0.08451425433
852	0.0843124032
853	0.08421372175
854	0.0840487361
855	0.08397046328
856	0.08389371634
857	0.08378664851
858	0.08371899128
859	0.08355485201
860	0.08338071108
861	0.08328113556
862	0.08320527077
863	0.08300794363
864	0.08290251493
865	0.08278669119
866	0.08264638186
867	0.08255242109
868	0.08247098923
869	0.08227531314
870	0.08214354515
871	0.08201242685
872	0.0819475174
873	0.08183589578
874	0.08173022866
875	0.08160229921
876	0.08151311874
877	0.08144849539
878	0.08128836751
879	0.08115192652
880	0.08096231222
881	0.08077213764
882	0.08065783978
883	0.08046884537
884	0.08028250933
885	0.08009389639
886	0.07990678549
887	0.07978755832
888	0.07965240479
889	0.07951068878
890	0.07932595015
891	0.07916314602
892	0.07902303934
893	0.07884037495
894	0.07872015238
895	0.078597188
896	0.07849782705
897	0.078317976
898	0.07820671201
899	0.07804946899
900	0.07798312902
901	0.07786570787
902	0.0778000772
903	0.07762228251
904	0.07746756673
905	0.07736940384
906	0.07723294497
907	0.07713007927
908	0.07706454992
909	0.07699323893
910	0.07687706947
911	0.07678182125
912	0.07660727501
913	0.07645659447
914	0.07634304166
915	0.07617064118
916	0.07608940601
917	0.07602381706
918	0.07591166496
